id,cs,pk,co,r3
6546,10,100,28.74,28.63
6546,20,100,21.64,21.98
6546,30,100,12.7,13.27
6546,40,100,10.46,10.99
6546,50,100,14.6,14
6546,60,100,3.47,4.01
6546,70,100,2.09,2.58
6546,80,100,2.76,3.19
6546,90,100,1.32,1.81
6546,100,10,14.2,14.67
6546,100,20,7.56,8.14
6546,100,30,5.37,5.87
6546,100,40,3.82,4.24
6546,100,50,3.18,3.63
6546,100,60,2.41,2.86
6546,100,70,1.48,1.95
6546,100,80,2.34,2.76
6546,100,90,1.16,1.67
6546,100,100,1.44,1.88
15270,10,100,17.11,17.26
15270,20,100,17.5,17.66
15270,30,100,12.34,12.58
15270,40,100,7.57,7.88
15270,50,100,5.63,6
15270,60,100,3.48,3.94
15270,70,100,1.6,2.07
15270,80,100,0.72,1.2
15270,90,100,0.61,1.06
15270,100,10,15.41,15.57
15270,100,20,8.85,9.07
15270,100,30,3.63,4.07
15270,100,40,2.55,2.78
15270,100,50,1.13,1.62
15270,100,60,1.21,1.55
15270,100,70,0.6,1.06
15270,100,80,0.83,1.22
15270,100,90,0.53,0.94
15270,100,100,0.49,0.99
16790,10,100,15.97,16.08
16790,20,100,16.09,16.04
16790,30,100,11.52,11.9
16790,40,100,7.44,7.74
16790,50,100,3.51,3.71
16790,60,100,4.01,4.18
16790,70,100,2.04,2.24
16790,80,100,1.55,1.73
16790,90,100,1.53,1.73
16790,100,10,13.44,13.9
16790,100,20,10.65,10.81
16790,100,30,4.54,4.63
16790,100,40,2.6,2.77
16790,100,50,1.44,1.68
16790,100,60,1.79,2.02
16790,100,70,2.11,2.25
16790,100,80,1.98,2.14
16790,100,90,1.53,1.72
16790,100,100,1.92,2.06
